"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Taliyah","Middle",264,"8.6%","10.8%","19.8%","53%","50%",761,601,1638,4,"70.0%","18.6%","12%",-160,-157,-5.5,8.7,"27.2%",583,"27.2%","23.4%",0.37,0.2
"Talon","Jungle",12,"0.4%","0.7%","1.0%","50%","75%",39,35,48,2.5,"60.4%","19.7%","0%",303,474,15.5,6.7,"19.3%",372,"18.6%","21.4%",0.59,0.34
"Taric","Support",10,"0.3%","0.1%","0.4%","50%","70%",7,17,67,4.4,"69.8%","15.6%","30%",7,-12,0.5,1.3,"2.9%",68,"4.0%","9.2%",1.62,0.38
"Thresh","Support",257,"8.4%","7.4%","15.7%","53%","39%",173,712,2204,3.3,"72.5%","23.4%","14%",30,11,2.4,1.1,"2.1%",109,"5.7%","8.9%",1.63,0.31
"Tristana","ADC",70,"2.3%","11.0%","19.3%","57%","77%",295,161,241,3.3,"65.0%","18.2%","6%",-177,-39,-4.4,9.8,"33.4%",534,"27.0%","27.6%",0.62,0.47
"Tristana","Middle",186,"6.1%","11.0%","19.3%","59%","33%",771,425,838,3.8,"69.0%","19.0%","12%",104,30,2.5,9.6,"30.5%",609,"27.5%","26.7%",0.43,0.32
"Trundle","Jungle",223,"7.3%","6.0%","13.4%","49%","83%",451,547,1507,3.6,"73.1%","20.7%","25%",-87,-115,-3.2,4.9,"12.9%",231,"11.6%","16.0%",0.37,0.51
"Trundle","Support",2,"0.1%","6.0%","13.4%","50%","100%",2,5,27,5.8,"80.6%","18.5%","0%",-303,-86,14,1.2,"1.7%",111,"5.1%","9.2%",2.37,0.46
"Trundle","Top",1,"0.0%","6.0%","13.4%","0%","100%",1,7,1,0.3,"33.3%","25.9%","0%",52,-368,9,10.1,"34.0%",334,"19.3%","29.5%",0.5,0.18
"Tryndamere","Middle",12,"0.4%","6.7%","10.1%","42%","83%",41,31,46,2.8,"60.4%","18.8%","17%",159,-45,-1.8,9,"27.9%",292,"17.7%","24.6%",0.29,0.36
"Tryndamere","Top",93,"3.0%","6.7%","10.1%","44%","59%",284,198,317,3,"54.0%","17.9%","13%",101,6,1.8,9.1,"28.9%",383,"22.0%","25.7%",0.31,0.24
"Twisted Fate","Middle",125,"4.1%","16.8%","20.9%","54%","42%",264,233,808,4.6,"68.7%","16.1%","9%",146,-142,-5,8,"22.8%",387,"20.0%","23.5%",0.32,0.25
"Twitch","ADC",32,"1.0%","0.7%","1.9%","34%","100%",146,112,126,2.4,"71.2%","24.8%","22%",89,76,-1.9,8.9,"29.0%",646,"29.5%","26.1%",0.39,0.36
"Twitch","Support",3,"0.1%","0.7%","1.9%","0%","33%",7,16,9,1,"66.7%","26.7%","33%",115,-252,-3,1,"3.1%",394,"16.5%","12.7%",1.52,0.63
"Udyr","Jungle",13,"0.4%","0.5%","0.9%","31%","69%",13,33,52,2,"61.9%","20.4%","23%",141,191,6.4,7.2,"16.8%",160,"10.0%","18.1%",0.29,0.43
"Udyr","Top",1,"0.0%","0.5%","0.9%","100%","100%",2,3,3,1.7,"71.4%","33.3%","-","-","-","-",7.4,"-",477,"19.4%","23.0%",0.28,0.2
"Urgot","Top",5,"0.2%","0.1%","0.2%","40%","100%",21,19,19,2.1,"76.9%","34.5%","40%",138,-162,1.2,8.6,"27.9%",525,"26.3%","26.3%",0.45,0.34
"Varus","ADC",348,"11.4%","10.9%","22.5%","50%","35%",1281,822,1655,3.6,"66.6%","18.3%","11%",112,112,4,9.1,"29.1%",628,"27.5%","25.4%",0.45,0.33
"Varus","Middle",1,"0.0%","10.9%","22.5%","0%","100%",0,3,4,1.3,"80.0%","13.0%","-","-","-","-",8.5,"-",658,"26.4%","22.5%",0.55,0.2
"Varus","Support",8,"0.3%","10.9%","22.5%","75%","50%",12,26,61,2.8,"62.4%","29.2%","0%",697,166,1.3,1.5,"5.9%",511,"20.9%","13.2%",2.01,0.79
"Vayne","ADC",14,"0.5%","0.3%","0.8%","36%","100%",62,29,52,3.9,"68.3%","13.6%","14%",270,24,-1.8,9.6,"34.8%",441,"23.8%","27.9%",0.41,0.3
"Vayne","Top",2,"0.1%","0.3%","0.8%","0%","100%",0,10,2,0.2,"28.6%","28.6%","50%",208,76,20,7.7,"25.6%",333,"27.9%","22.0%",0.37,0.1
"Veigar","ADC",2,"0.1%","2.7%","5.9%","50%","100%",10,3,10,6.7,"66.7%","11.5%","-","-","-","-",9.7,"-",625,"30.3%","26.4%",0.38,0.27
"Veigar","Middle",96,"3.1%","2.7%","5.9%","53%","75%",352,179,408,4.2,"66.8%","16.1%","11%",33,-7,0.3,8.7,"25.4%",495,"25.9%","23.6%",0.47,0.2
